State,City,Overall Percentile Rank,,Address,36.5677206,139.9033588
Oregon,Yamhill,98,,"Yamhill, Oregon",0,0
Pennsylvania,Clarks Green,0,,"Clarks Green, Pennsylvania",0,0
Pennsylvania,Munhall,0,,"Munhall, Pennsylvania",0,0
Illinois,Bartonville,42,,"Bartonville, Illinois",0,0
Montana,Bozeman,0,,"Bozeman, Montana",0,0
Pennsylvania,Blakely,0,,"Blakely, Pennsylvania",0,0
Pennsylvania,North Apollo,0,,"North Apollo, Pennsylvania",0,0
New Jersey,Haworth,0,,"Haworth, New Jersey",0,0
Nebraska,Plattsmouth,0,,"Plattsmouth, Nebraska",0,0
Alabama,Montevallo,0,,"Montevallo, Alabama",0,0
Washington,Lake Forest Park,0,,"Lake Forest Park, Washington",0,0
Ohio,Oberlin,0,,"Oberlin, Ohio",0,0
Michigan,Rochester Hills,0,,"Rochester Hills, Michigan",0,0
Iowa,Sigourney,0,,"Sigourney, Iowa",0,0
Minnesota,Warren,0,,"Warren, Minnesota",0,0
Minnesota,Corcoran,0,,"Corcoran, Minnesota",0,0
Louisiana,Choudrant,0,,"Choudrant, Louisiana",0,0
Pennsylvania,Throop,0,,"Throop, Pennsylvania",0,0
Texas,Southmayd,0,,"Southmayd, Texas",0,0
New Mexico,Wagon Mound,0,,"Wagon Mound, New Mexico",0,0
Kansas,Fairway,0,,"Fairway, Kansas",0,0
Pennsylvania,Jim Thorpe,0,,"Jim Thorpe, Pennsylvania",0,0
Missouri,Appleton City,0,,"Appleton City, Missouri",0,0
Illinois,Lawrenceville,0,,"Lawrenceville, Illinois",0,0
Oregon,Clatskanie,18,,"Clatskanie, Oregon",0,0
Iowa,Armstrong,0,,"Armstrong, Iowa",0,0
Mississippi,Canton,0,,"Canton, Mississippi",0,0
Georgia,Suwanee,99,,"Suwanee, Georgia",0,0
Kentucky,Prospect,45,,"Prospect, Kentucky",0,0
Illinois,Rockton,48,,"Rockton, Illinois",0,0
New York,Briarcliff Manor,0,,"Briarcliff Manor, New York",0,0
Pennsylvania,Moscow,0,,"Moscow, Pennsylvania",0,0
Arkansas,Mccrory,0,,"Mccrory, Arkansas",0,0
Tennessee,Powells Crossroads,0,,"Powells Crossroads, Tennessee",0,0
New Mexico,Jemez Springs,0,,"Jemez Springs, New Mexico",0,0
Louisiana,Jackson,0,,"Jackson, Louisiana",0,0
New Jersey,Bellmawr,0,,"Bellmawr, New Jersey",0,0
Pennsylvania,Port Royal,0,,"Port Royal, Pennsylvania",0,0
Ohio,Westlake,0,,"Westlake, Ohio",0,0
Pennsylvania,Port Royal,0,,"Port Royal, Pennsylvania",0,0
New Jersey,Bradley Beach,0,,"Bradley Beach, New Jersey",0,0
Pennsylvania,Mifflintown,0,,"Mifflintown, Pennsylvania",0,0
Ohio,Ashland,0,,"Ashland, Ohio",0,0
Pennsylvania,Bath,0,,"Bath, Pennsylvania",0,0
Pennsylvania,Mifflintown,0,,"Mifflintown, Pennsylvania",0,0
Colorado,Superior,0,,"Superior, Colorado",0,0
Pennsylvania,Sykesville,0,,"Sykesville, Pennsylvania",0,0
New York,Quogue,0,,"Quogue, New York",0,0
Washington,Omak,0,,"Omak, Washington",0,0
Tennessee,Chapel Hill,0,,"Chapel Hill, Tennessee",0,0
New Jersey,Summit,0,,"Summit, New Jersey",0,0
Louisiana,Amite City,0,,"Amite City, Louisiana",0,0
Pennsylvania,Falls Creek,0,,"Falls Creek, Pennsylvania",0,0
Ohio,Maple Heights,0,,"Maple Heights, Ohio",0,0
Arkansas,Helena-West Helena,0,,"Helena-West Helena, Arkansas",0,0
Vermont,Newport,0,,"Newport, Vermont",0,0
Minnesota,Pine River,0,,"Pine River, Minnesota",0,0
Georgia,Eatonton,65,,"Eatonton, Georgia",0,0
New York,Tivoli,0,,"Tivoli, New York",0,0
New York,Geneva,0,,"Geneva, New York",0,0
Pennsylvania,Brockway,0,,"Brockway, Pennsylvania",0,0
New York,Schenectady,0,,"Schenectady, New York",0,0
Pennsylvania,Indiana,0,,"Indiana, Pennsylvania",0,0
Pennsylvania,Ephrata,0,,"Ephrata, Pennsylvania",0,0
Kansas,Seneca,0,,"Seneca, Kansas",0,0
Pennsylvania,Homer City,0,,"Homer City, Pennsylvania",0,0
Georgia,Lawrenceville,0,,"Lawrenceville, Georgia",0,0
Montana,Big Timber,0,,"Big Timber, Montana",0,0
Pennsylvania,Prospect Park,0,,"Prospect Park, Pennsylvania",0,0
Pennsylvania,Sunbury,0,,"Sunbury, Pennsylvania",0,0
New Jersey,Keansburg,0,,"Keansburg, New Jersey",0,0
Pennsylvania,Clymer,0,,"Clymer, Pennsylvania",0,0
Ohio,Oak Harbor,0,,"Oak Harbor, Ohio",0,0
Ohio,Delaware,0,,"Delaware, Ohio",0,0
Maine,Waterville,0,,"Waterville, Maine",0,0
Iowa,Fairfield,0,,"Fairfield, Iowa",0,0
Indiana,Hobart,0,,"Hobart, Indiana",0,0
Georgia,Arcade,0,,"Arcade, Georgia",0,0
Illinois,Orangeville,0,,"Orangeville, Illinois",0,0
Georgia,Lawrenceville,0,,"Lawrenceville, Georgia",0,0
Tennessee,Hollow Rock,0,,"Hollow Rock, Tennessee",0,0
Mississippi,Lexington,0,,"Lexington, Mississippi",0,0
New Jersey,Wildwood Crest,0,,"Wildwood Crest, New Jersey",0,0
Michigan,Augusta,0,,"Augusta, Michigan",0,0
New Jersey,Secaucus,0,,"Secaucus, New Jersey",0,0
Pennsylvania,Waynesburg,0,,"Waynesburg, Pennsylvania",0,0
Georgia,Lawrenceville,0,,"Lawrenceville, Georgia",0,0
Pennsylvania,Waynesburg,0,,"Waynesburg, Pennsylvania",0,0
Colorado,Keenesburg,0,,"Keenesburg, Colorado",0,0
Pennsylvania,Kittanning,0,,"Kittanning, Pennsylvania",0,0
Florida,Debary,0,,"Debary, Florida",0,0
Iowa,Palo,0,,"Palo, Iowa",0,0
Utah,Harrisville,69,,"Harrisville, Utah",0,0
Pennsylvania,Freeport,0,,"Freeport, Pennsylvania",0,0
West Virginia,Williamstown,0,,"Williamstown, West Virginia",0,0
Oregon,La Pine,0,,"La Pine, Oregon",0,0
Pennsylvania,Ford City,0,,"Ford City, Pennsylvania",0,0
New Jersey,Tinton Falls,0,,"Tinton Falls, New Jersey",0,0
Pennsylvania,West Kittanning,0,,"West Kittanning, Pennsylvania",0,0
Kansas,Holcomb,0,,"Holcomb, Kansas",0,0
Kansas,Sedan,0,,"Sedan, Kansas",0,0
Ohio,Gnadenhutten,0,,"Gnadenhutten, Ohio",0,0
Iowa,Nashua,0,,"Nashua, Iowa",0,0
Indiana,Hobart,0,,"Hobart, Indiana",0,0
Iowa,Lake View,48,,"Lake View, Iowa",0,0
Pennsylvania,Rural Valley,0,,"Rural Valley, Pennsylvania",0,0
Pennsylvania,Westmont,0,,"Westmont, Pennsylvania",0,0
Ohio,Blue Ash,0,,"Blue Ash, Ohio",0,0
New York,Quogue,0,,"Quogue, New York",0,0
Pennsylvania,South Waverly,0,,"South Waverly, Pennsylvania",0,0
New York,Upper Nyack,0,,"Upper Nyack, New York",0,0
Georgia,Clarkston,92,,"Clarkston, Georgia",0,0
Ohio,Louisville,0,,"Louisville, Ohio",0,0
Pennsylvania,North Apollo,0,,"North Apollo, Pennsylvania",0,0
Pennsylvania,Roaring Spring,0,,"Roaring Spring, Pennsylvania",0,0
Colorado,Calhan,0,,"Calhan, Colorado",0,0
California,Industry,0,,"Industry, California",0,0
Illinois,Goreville,0,,"Goreville, Illinois",0,0
New Jersey,Little Silver,0,,"Little Silver, New Jersey",0,0
Pennsylvania,Mcconnellsburg,0,,"Mcconnellsburg, Pennsylvania",0,0
Iowa,Gladbrook,0,,"Gladbrook, Iowa",0,0
Pennsylvania,Scalp Level,0,,"Scalp Level, Pennsylvania",0,0
Pennsylvania,Mcconnellsburg,0,,"Mcconnellsburg, Pennsylvania",0,0
California,Ceres,0,,"Ceres, California",0,0
Minnesota,Rushford Village,0,,"Rushford Village, Minnesota",0,0
Georgia,Lilburn,0,,"Lilburn, Georgia",0,0
Washington,Colfax,0,,"Colfax, Washington",0,0
Illinois,Wonder Lake,0,,"Wonder Lake, Illinois",0,0
Illinois,Oakwood Hills,0,,"Oakwood Hills, Illinois",0,0
Missouri,Valley Park,0,,"Valley Park, Missouri",0,0
New Mexico,Reserve,0,,"Reserve, New Mexico",0,0
Nebraska,York,0,,"York, Nebraska",0,0
Ohio,Carrollton,0,,"Carrollton, Ohio",0,0
California,Calexico,0,,"Calexico, California",0,0
Mississippi,Plantersville,0,,"Plantersville, Mississippi",0,0
Alabama,Fairfield,35,,"Fairfield, Alabama",0,0
Iowa,Charles City,0,,"Charles City, Iowa",0,0
West Virginia,St Marys,0,,"St Marys, West Virginia",0,0
California,East Palo Alto,0,,"East Palo Alto, California",0,0
Iowa,Montrose,0,,"Montrose, Iowa",0,0
Illinois,Galatia,0,,"Galatia, Illinois",0,0
Pennsylvania,Fairchance,0,,"Fairchance, Pennsylvania",0,0
Tennessee,Adamsville,0,,"Adamsville, Tennessee",0,0
Minnesota,Caledonia,0,,"Caledonia, Minnesota",0,0
Pennsylvania,Everson,0,,"Everson, Pennsylvania",0,0
Georgia,Alto,0,,"Alto, Georgia",0,0
Minnesota,Onamia,0,,"Onamia, Minnesota",0,0
Tennessee,Fairview,0,,"Fairview, Tennessee",0,0
Oregon,Talent,0,,"Talent, Oregon",0,0
Illinois,Beardstown,0,,"Beardstown, Illinois",0,0
Pennsylvania,West Homestead,0,,"West Homestead, Pennsylvania",0,0
Pennsylvania,South Connellsville,0,,"South Connellsville, Pennsylvania",0,0
Iowa,Remsen,0,,"Remsen, Iowa",0,0
Pennsylvania,Smithfield,0,,"Smithfield, Pennsylvania",0,0
Mississippi,Richton,0,,"Richton, Mississippi",0,0
Ohio,Norwalk,0,,"Norwalk, Ohio",0,0
Georgia,Alto,0,,"Alto, Georgia",0,0
Pennsylvania,Tunkhannock,0,,"Tunkhannock, Pennsylvania",0,0
Pennsylvania,Ridley Park,0,,"Ridley Park, Pennsylvania",0,0
Pennsylvania,Point Marion,0,,"Point Marion, Pennsylvania",0,0
Tennessee,Mason,0,,"Mason, Tennessee",0,0
Oklahoma,Meeker,0,,"Meeker, Oklahoma",0,0
Kansas,Ulysses,0,,"Ulysses, Kansas",0,0
Florida,Cape Canaveral,0,,"Cape Canaveral, Florida",0,0
Georgia,Baldwin,0,,"Baldwin, Georgia",0,0
Oklahoma,Pocasset,0,,"Pocasset, Oklahoma",0,0
Georgia,Baldwin,0,,"Baldwin, Georgia",0,0
Oklahoma,Cleo Springs,0,,"Cleo Springs, Oklahoma",0,0
Pennsylvania,Irwin,0,,"Irwin, Pennsylvania",0,0
Georgia,Baldwin,0,,"Baldwin, Georgia",0,0
Mississippi,Verona,0,,"Verona, Mississippi",0,0
Iowa,Spencer,0,,"Spencer, Iowa",0,0
Pennsylvania,Girard,0,,"Girard, Pennsylvania",0,0
Alabama,East Brewton,40,,"East Brewton, Alabama",0,0
Washington,Tumwater,0,,"Tumwater, Washington",0,0
Michigan,Schoolcraft,0,,"Schoolcraft, Michigan",0,0
Ohio,Richfield,0,,"Richfield, Ohio",0,0
Pennsylvania,Lemoyne,0,,"Lemoyne, Pennsylvania",0,0
Louisiana,Epps,0,,"Epps, Louisiana",0,0
Indiana,Whitestown,62,,"Whitestown, Indiana",0,0
New Jersey,Interlaken,0,,"Interlaken, New Jersey",0,0
Ohio,Westlake,0,,"Westlake, Ohio",0,0
Kansas,Hillsboro,37,,"Hillsboro, Kansas",0,0
Georgia,Johns Creek,0,,"Johns Creek, Georgia",0,0
New Hampshire,Portsmouth,0,,"Portsmouth, New Hampshire",0,0
Ohio,Campbell,0,,"Campbell, Ohio",0,0
Pennsylvania,Union City,0,,"Union City, Pennsylvania",0,0
Illinois,East Galesburg,0,,"East Galesburg, Illinois",0,0
West Virginia,White Sulphur Springs,0,,"White Sulphur Springs, West Virginia",0,0
Indiana,Muncie,0,,"Muncie, Indiana",0,0
Oregon,Chiloquin,0,,"Chiloquin, Oregon",0,0
Indiana,Rising Sun,0,,"Rising Sun, Indiana",0,0
Iowa,Wilton,0,,"Wilton, Iowa",0,0
Indiana,Leo-Cedarville,0,,"Leo-Cedarville, Indiana",0,0
California,Avenal,0,,"Avenal, California",0,0
Pennsylvania,North East,0,,"North East, Pennsylvania",0,0
Pennsylvania,Lansdowne,0,,"Lansdowne, Pennsylvania",0,0
Pennsylvania,Lykens,0,,"Lykens, Pennsylvania",0,0
Pennsylvania,Albion,0,,"Albion, Pennsylvania",0,0
New York,Goshen,0,,"Goshen, New York",0,0
Ohio,Bloomingburg,0,,"Bloomingburg, Ohio",0,0
Indiana,Bluffton,54,,"Bluffton, Indiana",0,0
California,Huntington Park,0,,"Huntington Park, California",0,0
New Jersey,Palmyra,0,,"Palmyra, New Jersey",0,0
Michigan,Edwardsburg,0,,"Edwardsburg, Michigan",0,0
Arkansas,Knoxville,0,,"Knoxville, Arkansas",0,0
New York,Rensselaer,0,,"Rensselaer, New York",0,0
Pennsylvania,Ridgway,0,,"Ridgway, Pennsylvania",0,0
Washington,Newcastle,0,,"Newcastle, Washington",0,0
Pennsylvania,Johnsonburg,0,,"Johnsonburg, Pennsylvania",0,0
Washington,La Center,0,,"La Center, Washington",0,0
Nebraska,Kenesaw,0,,"Kenesaw, Nebraska",0,0
California,Huntington Park,0,,"Huntington Park, California",0,0
Pennsylvania,Hughesville,0,,"Hughesville, Pennsylvania",0,0
Pennsylvania,Darby,0,,"Darby, Pennsylvania",0,0
Iowa,Afton,0,,"Afton, Iowa",0,0
Alaska,Chevak,0,,"Chevak, Alaska",0,0
Pennsylvania,Colwyn,0,,"Colwyn, Pennsylvania",0,0
Ohio,Eastlake,0,,"Eastlake, Ohio",0,0
Pennsylvania,Collingdale,0,,"Collingdale, Pennsylvania",0,0
Ohio,Pomeroy,0,,"Pomeroy, Ohio",0,0
Pennsylvania,Collingdale,0,,"Collingdale, Pennsylvania",0,0
Kansas,La Cygne,0,,"La Cygne, Kansas",0,0
Ohio,Ashley,0,,"Ashley, Ohio",0,0
Missouri,Clever,0,,"Clever, Missouri",0,0
Iowa,Milford,0,,"Milford, Iowa",0,0
West Virginia,Carpendale,0,,"Carpendale, West Virginia",0,0
North Dakota,Carrington,0,,"Carrington, North Dakota",0,0
Georgia,Clermont,0,,"Clermont, Georgia",0,0
Pennsylvania,Yeadon,0,,"Yeadon, Pennsylvania",0,0
Illinois,Timberlane,0,,"Timberlane, Illinois",0,0
Tennessee,Huntsville,0,,"Huntsville, Tennessee",0,0
Tennessee,Bethel Springs,0,,"Bethel Springs, Tennessee",0,0
Iowa,West Branch,0,,"West Branch, Iowa",0,0
Michigan,Vernon,0,,"Vernon, Michigan",0,0
Indiana,Lake Station,0,,"Lake Station, Indiana",0,0
Pennsylvania,Trainer,0,,"Trainer, Pennsylvania",0,0
Pennsylvania,Port Carbon,0,,"Port Carbon, Pennsylvania",0,0
Maryland,Smithsburg,0,,"Smithsburg, Maryland",0,0
Iowa,Fairbank,0,,"Fairbank, Iowa",0,0
Minnesota,Winsted,0,,"Winsted, Minnesota",0,0
Louisiana,Mansfield,0,,"Mansfield, Louisiana",0,0
Ohio,Hicksville,0,,"Hicksville, Ohio",0,0
Colorado,Platteville,0,,"Platteville, Colorado",0,0
Ohio,Ashland,0,,"Ashland, Ohio",0,0
Arkansas,Lake City,0,,"Lake City, Arkansas",0,0
Missouri,Dellwood,0,,"Dellwood, Missouri",0,0
Pennsylvania,Rose Valley,0,,"Rose Valley, Pennsylvania",0,0
Montana,Big Timber,0,,"Big Timber, Montana",0,0
Texas,Lakeside,0,,"Lakeside, Texas",0,0
Kansas,Altamont,0,,"Altamont, Kansas",0,0
Pennsylvania,Milesburg,0,,"Milesburg, Pennsylvania",0,0
Oklahoma,Canute,0,,"Canute, Oklahoma",0,0
Pennsylvania,Prospect Park,0,,"Prospect Park, Pennsylvania",0,0
Arkansas,Cave City,0,,"Cave City, Arkansas",0,0
New York,Laurel Hollow,0,,"Laurel Hollow, New York",0,0
Nebraska,Ogallala,0,,"Ogallala, Nebraska",0,0
Ohio,Anna,0,,"Anna, Ohio",0,0
Pennsylvania,Norwood,0,,"Norwood, Pennsylvania",0,0
Mississippi,Bruce,0,,"Bruce, Mississippi",0,0
Arkansas,Weldon,0,,"Weldon, Arkansas",0,0
Pennsylvania,Strasburg,0,,"Strasburg, Pennsylvania",0,0
Pennsylvania,Morton,0,,"Morton, Pennsylvania",0,0
Ohio,Westerville,0,,"Westerville, Ohio",0,0
Missouri,Jackson,0,,"Jackson, Missouri",0,0
Pennsylvania,Millbourne,0,,"Millbourne, Pennsylvania",0,0
California,El Cerrito,0,,"El Cerrito, California",0,0
New Jersey,Kearny,0,,"Kearny, New Jersey",0,0
Indiana,Brownsburg,0,,"Brownsburg, Indiana",0,0
Mississippi,Corinth,0,,"Corinth, Mississippi",0,0
Illinois,Lily Lake,0,,"Lily Lake, Illinois",0,0
Pennsylvania,Wormleysburg,0,,"Wormleysburg, Pennsylvania",0,0
Arkansas,Hoxie,0,,"Hoxie, Arkansas",0,0
New York,Alexandria Bay,0,,"Alexandria Bay, New York",0,0
Michigan,Kingsley,0,,"Kingsley, Michigan",0,0
Maryland,Leonardtown,0,,"Leonardtown, Maryland",0,0
Missouri,Lake Ozark,0,,"Lake Ozark, Missouri",0,0
Pennsylvania,Glenolden,0,,"Glenolden, Pennsylvania",0,0
Pennsylvania,Mcconnellsburg,0,,"Mcconnellsburg, Pennsylvania",0,0
Iowa,Logan,0,,"Logan, Iowa",0,0
Pennsylvania,Folcroft,0,,"Folcroft, Pennsylvania",0,0
Pennsylvania,Eddystone,0,,"Eddystone, Pennsylvania",0,0
Kansas,Conway Springs,0,,"Conway Springs, Kansas",0,0
Washington,Eatonville,0,,"Eatonville, Washington",0,0
Oregon,Sheridan,0,,"Sheridan, Oregon",0,0
Michigan,Manchester,0,,"Manchester, Michigan",0,0
Ohio,West Lafayette,0,,"West Lafayette, Ohio",0,0
Mississippi,Lumberton,0,,"Lumberton, Mississippi",0,0
Arkansas,Harrisburg,0,,"Harrisburg, Arkansas",0,0
Pennsylvania,Johnsonburg,0,,"Johnsonburg, Pennsylvania",0,0
New Jersey,Allentown,0,,"Allentown, New Jersey",0,0
Texas,Ferris,0,,"Ferris, Texas",0,0
Illinois,Jerseyville,0,,"Jerseyville, Illinois",0,0
Mississippi,Picayune,0,,"Picayune, Mississippi",0,0
Tennessee,Newport,27,,"Newport, Tennessee",0,0
North Carolina,Elizabethtown,96,,"Elizabethtown, North Carolina",0,0
Pennsylvania,Confluence,0,,"Confluence, Pennsylvania",0,0
Pennsylvania,Highspire,0,,"Highspire, Pennsylvania",0,0
Colorado,Wellington,0,,"Wellington, Colorado",0,0
Wisconsin,Wittenberg,0,,"Wittenberg, Wisconsin",0,0
Pennsylvania,Halifax,0,,"Halifax, Pennsylvania",0,0
Florida,Dundee,0,,"Dundee, Florida",0,0
Pennsylvania,Halifax,0,,"Halifax, Pennsylvania",0,0
Pennsylvania,Gratz,0,,"Gratz, Pennsylvania",0,0
Illinois,Rockton,0,,"Rockton, Illinois",0,0
New Jersey,North Wildwood,0,,"North Wildwood, New Jersey",0,0
Pennsylvania,Elizabethville,0,,"Elizabethville, Pennsylvania",0,0
Tennessee,Huntsville,0,,"Huntsville, Tennessee",0,0
Pennsylvania,Oklahoma,0,,"Oklahoma, Pennsylvania",0,0
West Virginia,Buffalo,0,,"Buffalo, West Virginia",0,0
Illinois,Lewistown,0,,"Lewistown, Illinois",0,0
Alaska,Hooper Bay,0,,"Hooper Bay, Alaska",0,0
Pennsylvania,Dauphin,0,,"Dauphin, Pennsylvania",0,0
Alabama,Camden,0,,"Camden, Alabama",0,0
Pennsylvania,Tunkhannock,0,,"Tunkhannock, Pennsylvania",0,0
Texas,New Boston,84,,"New Boston, Texas",0,0
Minnesota,Cass Lake,0,,"Cass Lake, Minnesota",0,0
Pennsylvania,Steelton,0,,"Steelton, Pennsylvania",0,0
Georgia,Statham,0,,"Statham, Georgia",0,0
Michigan,Alanson,0,,"Alanson, Michigan",0,0
Arkansas,Augusta,0,,"Augusta, Arkansas",0,0
Pennsylvania,Royalton,0,,"Royalton, Pennsylvania",0,0
Iowa,West Liberty,0,,"West Liberty, Iowa",0,0
New York,Sleepy Hollow,0,,"Sleepy Hollow, New York",0,0
Nebraska,Ord,0,,"Ord, Nebraska",0,0
Colorado,Nucla,0,,"Nucla, Colorado",0,0
West Virginia,Rupert,0,,"Rupert, West Virginia",0,0
New Jersey,Sayreville,0,,"Sayreville, New Jersey",0,0
South Carolina,Great Falls,36,,"Great Falls, South Carolina",0,0
Pennsylvania,Mansfield,0,,"Mansfield, Pennsylvania",0,0
Pennsylvania,Paxtang,0,,"Paxtang, Pennsylvania",0,0
Kansas,Canton,0,,"Canton, Kansas",0,0
West Virginia,War,0,,"War, West Virginia",0,0
Washington,Sprague,0,,"Sprague, Washington",0,0
Ohio,Ansonia,0,,"Ansonia, Ohio",0,0
New Jersey,Collingswood,0,,"Collingswood, New Jersey",0,0
Pennsylvania,Mount Holly Springs,0,,"Mount Holly Springs, Pennsylvania",0,0
Washington,Leavenworth,0,,"Leavenworth, Washington",0,0
Ohio,Seven Hills,0,,"Seven Hills, Ohio",0,0
Pennsylvania,Blossburg,0,,"Blossburg, Pennsylvania",0,0
Ohio,Lowellville,0,,"Lowellville, Ohio",0,0
Illinois,Depue,0,,"Depue, Illinois",0,0
Missouri,Marlborough,0,,"Marlborough, Missouri",0,0
Pennsylvania,Hatboro,48,,"Hatboro, Pennsylvania",0,0
Kansas,Tonganoxie,0,,"Tonganoxie, Kansas",0,0
Pennsylvania,Mount Holly Springs,0,,"Mount Holly Springs, Pennsylvania",0,0
Alabama,Valley Grande,0,,"Valley Grande, Alabama",0,0
Idaho,Sandpoint,0,,"Sandpoint, Idaho",0,0
Pennsylvania,Mechanicsburg,0,,"Mechanicsburg, Pennsylvania",0,0
Ohio,Ohio City,0,,"Ohio City, Ohio",0,0
Louisiana,Forest Hill,0,,"Forest Hill, Louisiana",0,0
Minnesota,Lino Lakes,0,,"Lino Lakes, Minnesota",0,0
Washington,Sprague,0,,"Sprague, Washington",0,0
California,Danville,0,,"Danville, California",0,0
Pennsylvania,Punxsutawney,0,,"Punxsutawney, Pennsylvania",0,0
Iowa,Elkader,0,,"Elkader, Iowa",0,0
Iowa,Wadena,71,,"Wadena, Iowa",0,0
West Virginia,Star City,0,,"Star City, West Virginia",0,0
Tennessee,Walden,0,,"Walden, Tennessee",0,0
Pennsylvania,Wormleysburg,0,,"Wormleysburg, Pennsylvania",0,0
Illinois,Fisher,0,,"Fisher, Illinois",0,0
Pennsylvania,Blakely,0,,"Blakely, Pennsylvania",0,0
Ohio,Hopedale,0,,"Hopedale, Ohio",0,0
Pennsylvania,Shiremanstown,0,,"Shiremanstown, Pennsylvania",0,0
Ohio,East Liverpool,0,,"East Liverpool, Ohio",0,0
Ohio,Berea,0,,"Berea, Ohio",0,0
Pennsylvania,Meadville,0,,"Meadville, Pennsylvania",0,0
Pennsylvania,Munhall,0,,"Munhall, Pennsylvania",0,0
Pennsylvania,Linesville,0,,"Linesville, Pennsylvania",0,0
Oklahoma,Blair,0,,"Blair, Oklahoma",0,0
New Mexico,Albuquerque,19,,"Albuquerque, New Mexico",0,0
Illinois,Cuba,0,,"Cuba, Illinois",0,0
Oregon,Metolius,0,,"Metolius, Oregon",0,0
Pennsylvania,Sharon Hill,0,,"Sharon Hill, Pennsylvania",0,0
Pennsylvania,Cochranton,0,,"Cochranton, Pennsylvania",0,0
Minnesota,Hinckley,0,,"Hinckley, Minnesota",0,0
Indiana,Kirklin,0,,"Kirklin, Indiana",0,0
Kansas,Roeland Park,0,,"Roeland Park, Kansas",0,0
Ohio,Lordstown,0,,"Lordstown, Ohio",0,0
Pennsylvania,Cambridge Springs,0,,"Cambridge Springs, Pennsylvania",0,0
Tennessee,Gruetli-Laager,0,,"Gruetli-Laager, Tennessee",0,0
Indiana,Edinburgh,0,,"Edinburgh, Indiana",0,0
New Jersey,Harrison,0,,"Harrison, New Jersey",0,0
Kansas,Belleville,0,,"Belleville, Kansas",0,0
Ohio,Carlisle,0,,"Carlisle, Ohio",0,0
Pennsylvania,Saegertown,0,,"Saegertown, Pennsylvania",0,0
Illinois,Canton,0,,"Canton, Illinois",0,0
Washington,Roslyn,0,,"Roslyn, Washington",0,0
South Dakota,Winner,0,,"Winner, South Dakota",0,0
Pennsylvania,Edgewood,0,,"Edgewood, Pennsylvania",0,0
Texas,West Orange,0,,"West Orange, Texas",0,0
Pennsylvania,Dickson City,0,,"Dickson City, Pennsylvania",0,0
Pennsylvania,Wilmerding,0,,"Wilmerding, Pennsylvania",0,0
New York,Ravena,0,,"Ravena, New York",0,0
Pennsylvania,Blawnox,0,,"Blawnox, Pennsylvania",0,0
Kansas,Buhler,0,,"Buhler, Kansas",0,0
Arkansas,Caraway,0,,"Caraway, Arkansas",0,0
Georgia,Waverly Hall,0,,"Waverly Hall, Georgia",0,0
Pennsylvania,New Holland,0,,"New Holland, Pennsylvania",0,0
Michigan,Roscommon,0,,"Roscommon, Michigan",0,0
Idaho,Rupert,0,,"Rupert, Idaho",0,0
Pennsylvania,Whitehall,0,,"Whitehall, Pennsylvania",0,0
Indiana,Hammond,0,,"Hammond, Indiana",0,0
Alaska,Saxman,0,,"Saxman, Alaska",0,0
Kansas,Yates Center,0,,"Yates Center, Kansas",0,0
Pennsylvania,Whitaker,0,,"Whitaker, Pennsylvania",0,0
Nebraska,Plainview,0,,"Plainview, Nebraska",0,0
Illinois,Forrest,0,,"Forrest, Illinois",0,0
Washington,South Bend,0,,"South Bend, Washington",0,0
New Mexico,Mosquero,0,,"Mosquero, New Mexico",0,0
Pennsylvania,Olyphant,0,,"Olyphant, Pennsylvania",0,0
Illinois,Oquawka,56,,"Oquawka, Illinois",0,0
New York,Freeport,0,,"Freeport, New York",0,0
Pennsylvania,West Homestead,0,,"West Homestead, Pennsylvania",0,0
Pennsylvania,Turbotville,0,,"Turbotville, Pennsylvania",0,0
Texas,Bayou Vista,0,,"Bayou Vista, Texas",0,0
Pennsylvania,Versailles,0,,"Versailles, Pennsylvania",0,0
West Virginia,Gary,0,,"Gary, West Virginia",0,0
Pennsylvania,Versailles,0,,"Versailles, Pennsylvania",0,0
Louisiana,Folsom,0,,"Folsom, Louisiana",0,0
Illinois,Ina,0,,"Ina, Illinois",0,0
Kansas,Cottonwood Falls,0,,"Cottonwood Falls, Kansas",0,0
Pennsylvania,Verona,0,,"Verona, Pennsylvania",0,0
Mississippi,Amory,0,,"Amory, Mississippi",0,0
Pennsylvania,Verona,0,,"Verona, Pennsylvania",0,0
Ohio,Powell,0,,"Powell, Ohio",0,0
Pennsylvania,Turtle Creek,0,,"Turtle Creek, Pennsylvania",0,0
New York,Kingston,0,,"Kingston, New York",0,0
West Virginia,Shinnston,0,,"Shinnston, West Virginia",0,0
Ohio,Eastlake,0,,"Eastlake, Ohio",0,0
Pennsylvania,Swissvale,0,,"Swissvale, Pennsylvania",0,0
New Jersey,Milford,0,,"Milford, New Jersey",0,0
Washington,La Conner,0,,"La Conner, Washington",0,0
Minnesota,Nisswa,0,,"Nisswa, Minnesota",0,0
California,Fowler,0,,"Fowler, California",0,0
Pennsylvania,Springdale,0,,"Springdale, Pennsylvania",0,0
Pennsylvania,Sharpsburg,0,,"Sharpsburg, Pennsylvania",0,0
New Mexico,Roy,0,,"Roy, New Mexico",0,0
South Dakota,Box Elder,0,,"Box Elder, South Dakota",0,0
Colorado,Burlington,0,,"Burlington, Colorado",0,0
Pennsylvania,West Hazleton,0,,"West Hazleton, Pennsylvania",0,0
